epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,36.6626,0.40186,0.9902,1,0.02232,0.000471963,0.000471963,0.000471963
2,63.0633,0.14687,0.97549,1,0.0806,0.000901356,0.000901356,0.000901356
3,83.5614,0.11683,0.98529,1,0.03671,0.00128359,0.00128359,0.00128359
4,103.002,0.16113,0.97794,1,0.05572,0.00121679,0.00121679,0.00121679
5,122.312,0.12152,0.9951,1,0.0162,0.00114606,0.00114606,0.00114606
6,141.467,0.08588,0.98775,1,0.02561,0.00107532,0.00107532,0.00107532
7,160.627,0.08633,1,1,0.00647,0.00100459,0.00100459,0.00100459
8,179.744,0.05663,0.99755,1,0.00609,0.000933851,0.000933851,0.000933851
9,198.676,0.05766,0.98529,1,0.03003,0.000863116,0.000863116,0.000863116
10,218.183,0.03954,0.9951,1,0.00995,0.00079238,0.00079238,0.00079238
11,235.156,0.02575,1,1,0.00139,0.000721645,0.000721645,0.000721645
12,251.766,0.0241,0.99755,1,0.00349,0.000650909,0.000650909,0.000650909
13,268.276,0.02857,1,1,0.00183,0.000580174,0.000580174,0.000580174
14,285.403,0.02215,1,1,0.00285,0.000509438,0.000509438,0.000509438
15,302.207,0.0315,1,1,0.00434,0.000438703,0.000438703,0.000438703
16,318.713,0.02325,1,1,0.0009,0.000367967,0.000367967,0.000367967
17,335.98,0.02755,1,1,0.00264,0.000297232,0.000297232,0.000297232
18,352.63,0.01484,1,1,0.00155,0.000226497,0.000226497,0.000226497
19,369.51,0.01991,1,1,0.00156,0.000155761,0.000155761,0.000155761
20,386.57,0.0122,1,1,0.00085,8.50255e-05,8.50255e-05,8.50255e-05
